"path","modulePath"
"tools/fill_historical_reading_sessions.py","zeeguu.core"
"tools/fill_historical_reading_sessions.py","traceback"
"tools/fill_historical_reading_sessions.py","zeeguu.core.model.user_activitiy_data.UserActivityData"
"tools/fill_historical_reading_sessions.py","zeeguu.core.model.user_reading_session.UserReadingSession"
"tools/find_broken_articles.py","zeeguu.core"
"tools/find_broken_articles.py","zeeguu.core.content_retriever.quality_filter.sufficient_quality_of_text"
"tools/find_broken_articles.py","zeeguu.core.db"
"tools/find_broken_articles.py","zeeguu.core.content_retriever.quality_filter.sufficient_quality"
"tools/find_broken_articles.py","zeeguu.core.model.RSSFeed"
"tools/find_broken_articles.py","zeeguu.core.model.Article"
"tools/find_broken_articles.py","os"
"tools/fix_bookmark_learned_status.py","zeeguu.core.model.Bookmark"
"tools/fix_bookmark_learned_status.py","zeeguu.core.definition_of_learned.is_learned_based_on_exercise_outcomes"
"tools/fix_bookmark_learned_status.py","zeeguu.core.db"
"tools/flatten_unicode_characters.py","zeeguu.core.model.Language"
"tools/flatten_unicode_characters.py","sys.argv"
"tools/flatten_unicode_characters.py","zeeguu.core.db"
"tools/flatten_unicode_characters.py","zeeguu.core.content_retriever.unicode_normalization.flatten_composed_unicode_characters"
"tools/flatten_unicode_characters.py","zeeguu.core.model.Article"
"tools/forget_user.py","zeeguu.core"
"tools/forget_user.py","zeeguu.core.model.User"
"tools/forget_user.py","sys"
"tools/forget_user.py","faker.Faker"
"tools/learner_level.py","sortedcontainers.SortedList"
"tools/learner_level.py","wordstats.Word"
"tools/learner_level.py","zeeguu.core.model.Bookmark"
"tools/learner_level.py","zeeguu.core.model.User"
"tools/map_article_words.py","zeeguu.core.model.article_word.ArticleWord"
"tools/map_article_words.py","zeeguu.core"
"tools/map_article_words.py","re"
"tools/map_article_words.py","time"
"tools/map_article_words.py","nltk.corpus.stopwords"
"tools/map_article_words.py","urllib.parse.urlparse"
"tools/map_article_words.py","zeeguu.core.model.article.Article"
"tools/migrate_starredarticle_2_userarticle.py","zeeguu.core.model.UserArticle"
"tools/migrate_starredarticle_2_userarticle.py","zeeguu.core"
"tools/migrate_starredarticle_2_userarticle.py","zeeguu.core.model.Article"
"tools/migrate_starredarticle_2_userarticle.py","zeeguu.core.model.starred_article.StarredArticle"
"tools/migrations/add_icon_name_to_rss_feed.py","zeeguu.core"
"tools/migrations/add_icon_name_to_rss_feed.py","zeeguu.core.model.RSSFeed"
"tools/migrations/fix_text_duplications.py","zeeguu.core.model.Bookmark"
"tools/migrations/fix_text_duplications.py","zeeguu.core"
"tools/migrations/fix_text_duplications.py","collections.defaultdict"
"tools/migrations/fix_text_duplications.py","zeeguu.core.model.Text"
"tools/migrations/migrate_passwords.py","zeeguu.core"
"tools/migrations/migrate_passwords.py","zeeguu.core.model.User"
"tools/migrations/redo_hash.py","zeeguu.core.model.Text"
"tools/migrations/redo_hash.py","zeeguu.core"
"tools/migrations/redo_hash.py","zeeguu.core.util"
"tools/migrations/teacher_dashboard_migration_1/downgrade.py","sys"
"tools/migrations/teacher_dashboard_migration_1/downgrade.py","MySQLdb"
"tools/migrations/teacher_dashboard_migration_1/upgrade.py","sys"
"tools/migrations/teacher_dashboard_migration_1/upgrade.py","MySQLdb"
"tools/migrations/towards_single_translation.py","zeeguu.core"
"tools/migrations/towards_single_translation.py","zeeguu.core.model.Bookmark"
"tools/mysql_to_elastic.py","zeeguu.core.model.Article"
"tools/mysql_to_elastic.py","sqlalchemy.orm.exc.NoResultFound"
"tools/mysql_to_elastic.py","sqlalchemy"
"tools/mysql_to_elastic.py","datetime.datetime"
"tools/mysql_to_elastic.py","zeeguu.core"
"tools/mysql_to_elastic.py","traceback"
"tools/mysql_to_elastic.py","sys"
"tools/mysql_to_elastic.py","sqlalchemy.func"
"tools/mysql_to_elastic.py","sqlalchemy.orm.sessionmaker"
"tools/mysql_to_elastic.py","zeeguu.core.elastic.settings.ES_ZINDEX"
"tools/mysql_to_elastic.py","zeeguu.core.elastic.indexing.document_from_article"
"tools/mysql_to_elastic.py","zeeguu.core.elastic.indexing.create_or_update"
"tools/mysql_to_elastic.py","zeeguu.core.elastic.settings.ES_CONN_STRING"
"tools/mysql_to_elastic.py","elasticsearch.Elasticsearch"
"tools/past_exercises_for_user.py","zeeguu.core.model.bookmark.bookmark_exercise_mapping"
"tools/past_exercises_for_user.py","zeeguu.core.model.Exercise"
"tools/past_exercises_for_user.py","datetime"
"tools/past_exercises_for_user.py","zeeguu.core.model.Bookmark"
"tools/past_exercises_for_user.py","zeeguu.core.model.User"
"tools/past_exercises_for_user.py","zeeguu.core.db"
"tools/recompute_fk_difficulties_for_polish.py","zeeguu.core.language.difficulty_estimator_factory.DifficultyEstimatorFactory"
"tools/recompute_fk_difficulties_for_polish.py","zeeguu.core"
"tools/recompute_fk_difficulties_for_polish.py","zeeguu.core.model.Article"
"tools/recompute_reading_session_after_id.py","zeeguu.core.model.user_activitiy_data.UserActivityData"
"tools/recompute_reading_session_after_id.py","zeeguu.core.model.user_reading_session.UserReadingSession"
"tools/recompute_reading_session_after_id.py","zeeguu.core"
"tools/recompute_reading_session_after_id.py","traceback"
"tools/recompute_recommender_cache.py","zeeguu.core.model.ArticlesCache"
