importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
asv_bench/benchmarks/timeseries.py,benchmarks.pandas_vb_common.setup,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/dtypes.py,benchmarks.pandas_vb_common.string_dtypes,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/fields.py,benchmarks.tslibs.tslib._sizes,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/normalize.py,benchmarks.tslibs.tslib._sizes,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/period.py,benchmarks.tslibs.tslib._sizes,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/resolution.py,benchmarks.tslibs.tslib._sizes,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/tz_convert.py,benchmarks.tslibs.tslib._sizes,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/normalize.py,benchmarks.tslibs.tslib._tzs,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/period.py,benchmarks.tslibs.tslib._tzs,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/resolution.py,benchmarks.tslibs.tslib._tzs,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/timestamp.py,benchmarks.tslibs.tslib._tzs,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/tz_convert.py,benchmarks.tslibs.tslib._tzs,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/normalize.py,benchmarks.tslibs.tslib.tzlocal_obj,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/period.py,benchmarks.tslibs.tslib.tzlocal_obj,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/resolution.py,benchmarks.tslibs.tslib.tzlocal_obj,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
asv_bench/benchmarks/tslibs/tz_convert.py,benchmarks.tslibs.tslib.tzlocal_obj,asv_bench/benchmarks/tslibs/tslib.py,INTERNAL,MAPPED
pandas/__init__.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
pandas/_config/config.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
pandas/_config/dates.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
pandas/_config/display.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
pandas/_config/localization.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
pandas/_testing/__init__.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
