importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
zeeguu/core/test/test_exercise_session.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_feed.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_lingorank_service.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_reading_session.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_user.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_watch_event.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_words_to_study.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/user_activity_hooks/article_interaction_hooks.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/word_scheduling/adaptive/scheduling_algo.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/word_scheduling/basicSR/basicSR.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/starred_article.py,datetime.time,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/user_preference.py,datetime.time,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/_common_api_parameters.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/student.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/user_exercise_session.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/user_reading_session.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/rules/article_rule.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/rules/bookmark_rule.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/rules/user_article_rule.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/rules/user_exercise_session_rule.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/rules/user_reading_session_rule.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_exercise_session.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_feed.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_reading_session.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_user.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/word_scheduling/adaptive/scheduling_algo.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/word_scheduling/basicSR/basicSR.py,datetime.timedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/user.py,dateutil.relativedelta,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/student.py,dateutil.utils.today,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_user.py,dateutil.utils.today,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/utils/json_result.py,decimal,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_recommender/elastic_first_recommender.py,elasticsearch,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_recommender/elastic_recommender.py,elasticsearch_dsl.Q,NONE,EXTERNAL,EXTERNAL
zeeguu/core/elastic/elastic_query_builder.py,elasticsearch_dsl.Q,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_recommender/elastic_recommender.py,elasticsearch_dsl.Search,NONE,EXTERNAL,EXTERNAL
zeeguu/core/elastic/elastic_query_builder.py,elasticsearch_dsl.Search,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_recommender/elastic_recommender.py,elasticsearch_dsl.SF,NONE,EXTERNAL,EXTERNAL
zeeguu/core/elastic/elastic_query_builder.py,elasticsearch_dsl.SF,NONE,EXTERNAL,EXTERNAL
tools/mysql_to_elastic.py,elasticsearch.Elasticsearch,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_recommender/elastic_recommender.py,elasticsearch.Elasticsearch,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_retriever/article_downloader.py,elasticsearch.Elasticsearch,NONE,EXTERNAL,EXTERNAL
